FECHA,PAÍS,DEPARTAMENTO,MUNICIPIO,DELITO,PAIS VÍCTIMA,GENERO,ZONA,CIRCUNSTANCIASPERSONA
9/24/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,MASCULINO,URBANA,NO REGISTRA
9/22/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,FEMENINO,URBANA,ESTADOS UNIDOS
9/21/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
9/19/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,FEMENINO,URBANA,NO REGISTRA
9/19/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
9/18/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,FEMENINO,URBANA,NO REGISTRA
9/15/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
9/14/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,FEMENINO,URBANA,NO REGISTRA
9/14/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,ECUADOR,MASCULINO,URBANA,ECUADOR
9/12/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,FEMENINO,URBANA,NO REGISTRA
9/12/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,FEMENINO,URBANA,NO REGISTRA
9/11/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,MASCULINO,URBANA,NO REGISTRA
9/11/22,COLOMBIA,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),ARTÍCULO 239. HURTO PERSONAS,ESPAÑA,MASCULINO,URBANA,ESPAÑA
9/9/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,NUEVA ZELANDA,MASCULINO,URBANA,NUEVA ZELANDA
9/6/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 447. RECEPTACIÓN,FRANCIA,MASCULINO,URBANA,FRANCIA
9/5/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,MASCULINO,URBANA,NO REGISTRA
8/30/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,MASCULINO,URBANA,NO REGISTRA
8/28/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,MASCULINO,URBANA,NO REGISTRA
8/26/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,FEMENINO,URBANA,NO REGISTRA
8/24/22,COLOMBIA,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
8/24/22,COLOMBIA,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,PANAMA,MASCULINO,URBANA,PANAMA
8/23/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,FRANCIA,FEMENINO,URBANA,FRANCIA
8/22/22,COLOMBIA,CESAR,MANAURE,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
8/18/22,COLOMBIA,NORTE DE SANTANDER,TIBÚ,ARTÍCULO 169. SECUESTRO EXTORSIVO,MEXICO,MASCULINO,URBANA,MEXICO
8/12/22,COLOMBIA,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
8/12/22,COLOMBIA,VALLE,CALI (CT),ARTÍCULO 239. HURTO PERSONAS,CANADA,MASCULINO,URBANA,CANADA
8/11/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,FEMENINO,URBANA,VENEZUELA
8/8/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ALEMANIA,MASCULINO,URBANA,ALEMANIA
8/8/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
8/7/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,FRANCIA,FEMENINO,URBANA,FRANCIA
8/5/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 347. AMENAZAS,NO REGISTRA,MASCULINO,URBANA,NO REGISTRA
8/4/22,COLOMBIA,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,PANAMA,FEMENINO,URBANA,PANAMA
8/3/22,COLOMBIA,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,AUSTRALIA,MASCULINO,URBANA,AUSTRALIA
8/2/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,JAPON,FEMENINO,URBANA,JAPON
7/29/22,COLOMBIA,VALLE,CALI (CT),ARTÍCULO 239. HURTO PERSONAS,ESTONIA,MASCULINO,URBANA,ESTONIA
7/27/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,FEMENINO,URBANA,VENEZUELA
7/27/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,MASCULINO,URBANA,VENEZUELA
7/26/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
7/19/22,COLOMBIA,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,AUSTRALIA,MASCULINO,URBANA,AUSTRALIA
7/18/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
7/12/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ITALIA,FEMENINO,URBANA,ITALIA
7/6/22,COLOMBIA,AMAZONAS,LETICIA (CT),ARTÍCULO 239. HURTO PERSONAS,HOLANDA,FEMENINO,URBANA,HOLANDA
7/5/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,NORUEGA,FEMENINO,URBANA,NORUEGA
7/4/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
7/3/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
7/2/22,,MAGDALENA,SITIONUEVO,ARTÍCULO 239. HURTO PERSONAS,ARGENTINA,FEMENINO,URBANA,ARGENTINA
7/2/22,,MAGDALENA,SITIONUEVO,ARTÍCULO 239. HURTO PERSONAS,ARGENTINA,MASCULINO,URBANA,ARGENTINA
7/1/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
